SKU_ID,Forecast,Current_Stock,Risk,Recommendation
SKU050,24.0,433,Overstock Risk,Reduce Inventory
SKU051,21.0,156,Overstock Risk,Reduce Inventory
SKU052,16.0,496,Overstock Risk,Reduce Inventory
SKU053,8.0,151,Overstock Risk,Reduce Inventory
SKU054,8.0,201,Overstock Risk,Reduce Inventory
SKU055,40.0,769,Overstock Risk,Reduce Inventory
SKU056,11.0,66,Overstock Risk,Reduce Inventory
SKU057,11.0,108,Overstock Risk,Reduce Inventory
SKU058,5.0,129,Overstock Risk,Reduce Inventory
SKU059,29.0,655,Overstock Risk,Reduce Inventory
SKU060,31.0,149,Overstock Risk,Reduce Inventory
SKU061,40.0,1252,Overstock Risk,Reduce Inventory
SKU062,24.0,477,Overstock Risk,Reduce Inventory
SKU063,30.0,163,Overstock Risk,Reduce Inventory
SKU064,37.0,502,Overstock Risk,Reduce Inventory
SKU065,14.0,208,Overstock Risk,Reduce Inventory
SKU066,5.0,73,Overstock Risk,Reduce Inventory
SKU067,41.0,404,Overstock Risk,Reduce Inventory
SKU068,39.0,588,Overstock Risk,Reduce Inventory
SKU069,21.0,135,Overstock Risk,Reduce Inventory
SKU070,8.0,140,Overstock Risk,Reduce Inventory
SKU071,37.0,648,Overstock Risk,Reduce Inventory
SKU072,20.0,485,Overstock Risk,Reduce Inventory
SKU073,22.0,235,Overstock Risk,Reduce Inventory
SKU074,31.0,496,Overstock Risk,Reduce Inventory
SKU075,43.0,745,Overstock Risk,Reduce Inventory
SKU076,9.0,108,Overstock Risk,Reduce Inventory
SKU077,47.0,541,Overstock Risk,Reduce Inventory
SKU078,7.0,61,Overstock Risk,Reduce Inventory
SKU079,22.0,471,Overstock Risk,Reduce Inventory
SKU080,24.0,604,Overstock Risk,Reduce Inventory
SKU081,4.0,230,Overstock Risk,Reduce Inventory
SKU082,22.0,922,Overstock Risk,Reduce Inventory
SKU083,32.0,517,Overstock Risk,Reduce Inventory
SKU084,38.0,1040,Overstock Risk,Reduce Inventory
SKU085,30.0,390,Overstock Risk,Reduce Inventory
SKU086,11.0,167,Overstock Risk,Reduce Inventory
SKU087,23.0,170,Overstock Risk,Reduce Inventory
SKU088,33.0,328,Overstock Risk,Reduce Inventory
SKU089,21.0,390,Overstock Risk,Reduce Inventory
SKU090,6.0,108,Overstock Risk,Reduce Inventory
SKU091,33.0,391,Overstock Risk,Reduce Inventory
SKU092,40.0,332,Overstock Risk,Reduce Inventory
SKU093,12.0,235,Overstock Risk,Reduce Inventory
SKU094,23.0,145,Overstock Risk,Reduce Inventory
SKU095,46.0,681,Overstock Risk,Reduce Inventory
SKU096,26.0,483,Overstock Risk,Reduce Inventory
SKU097,12.0,305,Overstock Risk,Reduce Inventory
SKU098,49.0,318,Overstock Risk,Reduce Inventory
SKU099,13.0,225,Overstock Risk,Reduce Inventory
SKU100,22.0,407,Overstock Risk,Reduce Inventory
SKU101,32.0,459,Overstock Risk,Reduce Inventory
SKU102,13.0,404,Overstock Risk,Reduce Inventory
SKU103,18.0,89,Overstock Risk,Reduce Inventory
SKU104,16.0,127,Overstock Risk,Reduce Inventory
SKU105,23.0,144,Overstock Risk,Reduce Inventory
SKU106,25.0,85,Overstock Risk,Reduce Inventory
SKU107,29.0,632,Overstock Risk,Reduce Inventory
SKU108,40.0,849,Overstock Risk,Reduce Inventory
SKU109,31.0,1255,Overstock Risk,Reduce Inventory
SKU110,21.0,567,Overstock Risk,Reduce Inventory
SKU111,16.0,264,Overstock Risk,Reduce Inventory
SKU112,7.0,344,Overstock Risk,Reduce Inventory
SKU113,21.0,314,Overstock Risk,Reduce Inventory
SKU114,15.0,97,Overstock Risk,Reduce Inventory
SKU115,16.0,484,Overstock Risk,Reduce Inventory
SKU116,10.0,175,Overstock Risk,Reduce Inventory
SKU117,15.0,266,Overstock Risk,Reduce Inventory
SKU118,16.0,622,Overstock Risk,Reduce Inventory
SKU119,11.0,65,Overstock Risk,Reduce Inventory
SKU120,7.0,117,Overstock Risk,Reduce Inventory
SKU121,15.0,156,Overstock Risk,Reduce Inventory
SKU122,25.0,244,Overstock Risk,Reduce Inventory
SKU123,47.0,983,Overstock Risk,Reduce Inventory
SKU124,22.0,300,Overstock Risk,Reduce Inventory
SKU125,43.0,591,Overstock Risk,Reduce Inventory
SKU126,6.0,231,Overstock Risk,Reduce Inventory
SKU127,31.0,848,Overstock Risk,Reduce Inventory
SKU128,14.0,313,Overstock Risk,Reduce Inventory
SKU129,18.0,231,Overstock Risk,Reduce Inventory
SKU130,27.0,558,Overstock Risk,Reduce Inventory
SKU131,35.0,618,Overstock Risk,Reduce Inventory
SKU132,12.0,501,Overstock Risk,Reduce Inventory
SKU133,28.0,730,Overstock Risk,Reduce Inventory
SKU134,11.0,43,Overstock Risk,Reduce Inventory
SKU135,10.0,80,Overstock Risk,Reduce Inventory
SKU136,14.0,144,Overstock Risk,Reduce Inventory
SKU137,21.0,268,Overstock Risk,Reduce Inventory
SKU138,49.0,270,Overstock Risk,Reduce Inventory
SKU139,23.0,259,Overstock Risk,Reduce Inventory
SKU140,27.0,249,Overstock Risk,Reduce Inventory
SKU141,20.0,563,Overstock Risk,Reduce Inventory
SKU142,25.0,531,Overstock Risk,Reduce Inventory
SKU143,25.0,336,Overstock Risk,Reduce Inventory
SKU144,11.0,55,Overstock Risk,Reduce Inventory
SKU145,36.0,916,Overstock Risk,Reduce Inventory
SKU146,42.0,584,Overstock Risk,Reduce Inventory
SKU147,28.0,711,Overstock Risk,Reduce Inventory
SKU148,39.0,578,Overstock Risk,Reduce Inventory
SKU149,25.0,758,Overstock Risk,Reduce Inventory
SKU150,28.0,539,Overstock Risk,Reduce Inventory
SKU151,19.0,342,Overstock Risk,Reduce Inventory
SKU152,37.0,221,Overstock Risk,Reduce Inventory
SKU153,3.0,216,Overstock Risk,Reduce Inventory
SKU154,39.0,839,Overstock Risk,Reduce Inventory
SKU155,36.0,342,Overstock Risk,Reduce Inventory
SKU156,59.0,1168,Overstock Risk,Reduce Inventory
SKU157,18.0,196,Overstock Risk,Reduce Inventory
SKU158,24.0,220,Overstock Risk,Reduce Inventory
SKU159,12.0,301,Overstock Risk,Reduce Inventory
SKU160,48.0,716,Overstock Risk,Reduce Inventory
SKU161,21.0,406,Overstock Risk,Reduce Inventory
SKU162,16.0,146,Overstock Risk,Reduce Inventory
SKU163,24.0,995,Overstock Risk,Reduce Inventory
SKU164,16.0,209,Overstock Risk,Reduce Inventory
SKU165,10.0,79,Overstock Risk,Reduce Inventory
SKU166,16.0,114,Overstock Risk,Reduce Inventory
SKU167,15.0,69,Overstock Risk,Reduce Inventory
SKU168,41.0,841,Overstock Risk,Reduce Inventory
SKU169,30.0,1102,Overstock Risk,Reduce Inventory
SKU170,8.0,68,Overstock Risk,Reduce Inventory
SKU171,37.0,177,Overstock Risk,Reduce Inventory
SKU172,39.0,1525,Overstock Risk,Reduce Inventory
SKU173,23.0,233,Overstock Risk,Reduce Inventory
SKU174,14.0,242,Overstock Risk,Reduce Inventory
SKU175,29.0,724,Overstock Risk,Reduce Inventory
SKU176,24.0,427,Overstock Risk,Reduce Inventory
SKU177,9.0,202,Overstock Risk,Reduce Inventory
SKU178,39.0,653,Overstock Risk,Reduce Inventory
SKU179,28.0,196,Overstock Risk,Reduce Inventory
SKU180,22.0,168,Overstock Risk,Reduce Inventory
SKU181,34.0,510,Overstock Risk,Reduce Inventory
SKU182,35.0,638,Overstock Risk,Reduce Inventory
SKU183,22.0,446,Overstock Risk,Reduce Inventory
SKU184,47.0,1307,Overstock Risk,Reduce Inventory
SKU185,7.0,44,Overstock Risk,Reduce Inventory
SKU186,15.0,348,Overstock Risk,Reduce Inventory
SKU187,36.0,215,Overstock Risk,Reduce Inventory
SKU188,25.0,372,Overstock Risk,Reduce Inventory
SKU189,41.0,1200,Overstock Risk,Reduce Inventory
SKU190,31.0,541,Overstock Risk,Reduce Inventory
SKU191,14.0,179,Overstock Risk,Reduce Inventory
SKU192,12.0,210,Overstock Risk,Reduce Inventory
SKU193,17.0,227,Overstock Risk,Reduce Inventory
SKU194,40.0,545,Overstock Risk,Reduce Inventory
SKU195,14.0,152,Overstock Risk,Reduce Inventory
SKU196,13.0,352,Overstock Risk,Reduce Inventory
SKU197,28.0,358,Overstock Risk,Reduce Inventory
SKU198,33.0,385,Overstock Risk,Reduce Inventory
SKU199,41.0,548,Overstock Risk,Reduce Inventory
SKU200,40.0,1509,Overstock Risk,Reduce Inventory
